ID,GSM1489980,GSM1489981,GSM1489982,GSM1489983,GSM1489984,GSM1489985,GSM1489986,GSM1489987,GSM1489988,GSM1489989,GSM1489990,GSM1489991,GSM1489992,GSM1489993,GSM1489994,GSM1489995,GSM1489996,GSM1489997,GSM1489998,GSM1489999,GSM1490000,GSM1490001,GSM1490002,GSM1490003,GSM1490005,GSM1490006,GSM1490007,GSM1490008,GSM1490009,GSM1490010,GSM1490011,GSM1490012,GSM1490013,GSM1490014,GSM1490015
PEX12,0.160305291,-0.549950719,-0.374964416,0.901961803,0.443302661,-1.072965622,0.205504581,0.231981114,0.540019274,-0.313489765,-0.425533623,-0.193554148,0.284735829,-0.067674033,0.24127765,0.316975236,-0.28522557,0.400881946,-0.317694783,0.386111856,0.020640882,0.887814105,0.508033872,-0.125509664,0.282319278,0.305636883,-0.630326807,0.170861796,0.14667277,-0.520745218,0.134922475,0.171255857,-0.133496329,-1.163575172,0
PEX14,0.205397204,-1.114542365,-0.583492577,-0.195051298,-0.41258657,-0.516238093,-0.311170906,-0.30670777,-0.640173376,-1.095394254,-0.586840391,-1.329220414,-0.497322977,0.096984126,0,0.614590526,-0.023974814,-0.109855264,-0.485150754,-0.507222176,-0.978195012,0.090967491,-0.499055237,-0.484327197,-0.327024132,0.111562043,-0.979903698,-0.117606804,0.290296167,-0.648690641,-0.363511384,0.073080197,0.447952092,0.324527502,0
SPBC24,0.121461369,0.309106648,-1.120797753,-0.565103889,-0.091479488,-0.295766801,-0.462480783,0.205873623,-0.178510487,-0.547698617,-1.024594545,0.252369434,0.154618919,-1.19282043,-0.09059421,-0.334049433,0.154107869,-0.574904621,-0.165425882,-1.217430234,1.191363454,-0.377050728,-0.411409736,3.58E-04,-0.602899015,0.157615662,-0.198863342,0.323916107,0.494250953,-0.378698647,-0.287932009,-0.025459094,0.366272449,0.483843923,-0.417045414
SPBC25,-0.792701006,-1.519344807,-1.889342189,-1.206358433,-1.002187133,-2.103197813,-1.263289571,-1.125877857,-2.00184536,-1.72952044,-3.64304924,-3.034115791,-1.011909366,-2.562531471,-0.678053439,-0.39402923,-0.853781343,-1.098036766,-0.994341612,-1.871990919,-1.047490597,-1.815352321,-1.799462914,-0.552787423,-1.707429528,-0.881464601,-2.228152514,-0.726496398,-0.54115963,-2.109179258,-1.42461586,-1.41751039,-1.273054123,-0.844550192,-1.18244946
ChGn,-0.312873662,-2.164493084,-0.61184907,-0.306293905,0.878163815,-2.234366655,-1.424719334,-0.862033844,-1.138011813,-0.879474759,-0.601936996,-1.587882519,-0.065707572,1.275803208,-1.175203204,-0.72881031,-0.097801276,-1.313824058,-1.185310364,-0.479333818,-0.952738404,-0.25381428,-0.860556722,-0.204431534,0.374187499,-0.909363806,-1.33833158,-1.385562181,-1.21572566,-0.150577158,0,-0.661986709,-0.954842865,-1.250189781,-0.170573786
DIO2,-0.468217343,-0.925306499,0.499840617,-1.57817924,-2.085981846,-1.701696038,-1.80267036,-1.054737806,-1.636869431,-1.782564998,-0.465247154,-2.788505554,-0.05162438,0.997482717,-1.039599061,-0.701245964,-1.083721995,-2.235600471,-1.94915092,-1.95382154,-0.513260484,-0.439111412,-2.160176754,-1.425926685,-0.751665652,-0.968447208,-0.626646698,-1.64613378,-1.585224509,-2.495258808,-1.983702183,-1.096502066,-1.909337759,-1.967108488,-0.961933911
CD300LG,-0.134437472,0.770030379,0.354000777,-0.663232028,-0.562774897,1.045183897,0.04032528,0.132697985,-0.04944909,0.832021952,1.523217082,2.206807852,0.069057435,0.981825173,0.23413682,0.160818756,-0.038636535,0.119397156,0.624817371,0.173903435,3.209351301,-0.194391832,0.116454989,0.51147598,0.128112689,-0.193552971,1.877705216,0.014155139,-0.00493568,0.503832936,-0.027801113,-0.208351523,-0.720698774,-0.772818267,-0.06117367
IL1RN,-0.126659334,-1.306215882,1.589682102,0.295120746,-0.030216862,0,-0.708634973,-1.316468596,-1.295423985,-2.654010057,-1.023762822,0,-0.088978671,-0.148248315,0.290761411,-0.428844541,-0.16081275,-0.993171573,-0.860467255,-1.109997511,-0.948042095,-0.863415062,-0.866921663,-1.411785841,-0.832635522,-1.384007454,-0.28878811,-0.892101705,-0.604429007,-1.411817431,0,-1.229525924,0,-0.130873352,0.29538846
IL23R,-0.013511901,0.129306063,0.748384893,0.289262831,0.190304264,-0.092548825,0.082392886,-0.11127612,0.111583292,-0.109262556,0.470772624,-0.809784055,0.111775532,0.162971795,-0.125033572,-0.144274667,0.126993194,0.032150742,-0.145082399,-0.170639768,-0.11851275,0.117274202,-0.076370612,0.110392056,-0.110306129,-0.21886012,-0.284786135,-0.130030751,-0.15104425,-0.350060761,-0.164027646,0.034019113,0.002887492,0.530573785,0.85089922
IL1R1,0.600513518,-0.625961602,0.939902723,1.591048479,0.958594024,0.286093682,0.004095477,0.315809041,0.136941224,-0.176012024,3.629804134,1.02966857,0.797338247,3.5643785,0.670177877,-0.257529348,0.089330949,0.115111016,0.081297711,0.422851175,1.579912543,0.683806956,0.252773941,0.757986665,1.141209841,2.186613083,0.951085627,-0.427324235,0.131066278,0.198136002,-0.304053783,0.263361901,-0.317635089,0.220016971,0.441973388
IL1R2,-0.106685154,-0.572364748,0.027273754,-0.33563897,0.210746214,-0.211728156,-0.200363562,-0.04422858,-0.211331904,-0.160573289,-0.488054276,1.448980212,-0.241876379,-0.703418791,0.04293609,-0.17805548,-0.521996558,-0.009183071,-0.205983058,-0.446921527,1.09265697,-0.360162199,-0.343459576,-0.121552698,-0.332521886,-0.248092353,0.290786058,-0.441487998,-0.434154898,-0.211859152,0.015854195,-0.384650648,0.280390531,0.163555071,0.18549113
